chain_id,voter,amount,token,amountUSD,payoutAddress,round_name,roundAddress,tx_gasPrice,tx_gasSpent,tx_timestamp
10,0xc71b6e695e532431d69545f5034fb3e640d9afbd,100000000000000,0x0000000000000000000000000000000000000000,0.20500176,0x6C5BA7BD96dd3Bd52D787815b4bb608F8533CAbD,Global Chinese Community Round at GG19,0x6726FE9C89fb04eAEf388C11cF55Be6AA0a62fb9,8388100,639706,"November 23, 2023 6:33 PM (GMT+1)"
10,0xc71b6e695e532431d69545f5034fb3e640d9afbd,100000000000000,0x0000000000000000000000000000000000000000,0.20500176,0x1F7b953113f4dFcBF56a1688529CC812865840e1,Global Chinese Community Round at GG19,0x6726FE9C89fb04eAEf388C11cF55Be6AA0a62fb9,8388100,639706,"November 23, 2023 6:33 PM (GMT+1)"
10,0xc71b6e695e532431d69545f5034fb3e640d9afbd,100000000000000,0x0000000000000000000000000000000000000000,0.20500176,0xe3b4ECd2EC88026F84cF17fef8bABfD9184C94F0,Global Chinese Community Round at GG19,0x6726FE9C89fb04eAEf388C11cF55Be6AA0a62fb9,8388100,639706,"November 23, 2023 6:33 PM (GMT+1)"
10,0xc71b6e695e532431d69545f5034fb3e640d9afbd,100000000000000,0x0000000000000000000000000000000000000000,0.20500176,0x8012B593917f74dD8C5233FD509B9a02d1bC7079,Global Chinese Community Round at GG19,0x6726FE9C89fb04eAEf388C11cF55Be6AA0a62fb9,8388100,639706,"November 23, 2023 6:33 PM (GMT+1)"
10,0xc71b6e695e532431d69545f5034fb3e640d9afbd,100000000000000,0x0000000000000000000000000000000000000000,0.20500176,0xC102AfcF77Cc02674e66Bc4c042B1c668aaD1f3c,Global Chinese Community Round at GG19,0x6726FE9C89fb04eAEf388C11cF55Be6AA0a62fb9,8388100,639706,"November 23, 2023 6:33 PM (GMT+1)"
10,0xc71b6e695e532431d69545f5034fb3e640d9afbd,100000000000000,0x0000000000000000000000000000000000000000,0.20500176,0x5B675653Ff50cC11bDF92849232882174069432D,Global Chinese Community Round at GG19,0x6726FE9C89fb04eAEf388C11cF55Be6AA0a62fb9,8388100,639706,"November 23, 2023 6:33 PM (GMT+1)"
10,0xc71b6e695e532431d69545f5034fb3e640d9afbd,100000000000000,0x0000000000000000000000000000000000000000,0.20500176,0x7A40E75Ed79c9270Af883ada1901E41B4DB39e0a,Global Chinese Community Round at GG19,0x6726FE9C89fb04eAEf388C11cF55Be6AA0a62fb9,8388100,639706,"November 23, 2023 6:33 PM (GMT+1)"
10,0xc71b6e695e532431d69545f5034fb3e640d9afbd,100000000000000,0x0000000000000000000000000000000000000000,0.20500176,0x86a1D225D567920E7C2a988241eE467f353640e6,Global Chinese Community Round at GG19,0x6726FE9C89fb04eAEf388C11cF55Be6AA0a62fb9,8388100,639706,"November 23, 2023 6:33 PM (GMT+1)"
10,0xc71b6e695e532431d69545f5034fb3e640d9afbd,100000000000000,0x0000000000000000000000000000000000000000,0.20500176,0x9E423525B454a4240b82b462EC524372c7786dD6,Global Chinese Community Round at GG19,0x6726FE9C89fb04eAEf388C11cF55Be6AA0a62fb9,8388100,639706,"November 23, 2023 6:33 PM (GMT+1)"
10,0xc71b6e695e532431d69545f5034fb3e640d9afbd,100000000000000,0x0000000000000000000000000000000000000000,0.20500176,0xAdFB64b185D25859BeE3360690c9FECD3341E2B8,Global Chinese Community Round at GG19,0x6726FE9C89fb04eAEf388C11cF55Be6AA0a62fb9,8388100,639706,"November 23, 2023 6:33 PM (GMT+1)"
